abandon verlassen تخلى
application Bewerbung طلب
apply bewerben يتقدم
appointment Termin موعد
appreciate schätzen يقدر
appropriate angemessen مناسب
approval Zustimmung موافقة
approve genehmigen يوافق
approximately ungefähr تقريبًا
April April أبريل
architect Architekt مهندس معماري
architecture Architektur عمارة
area Bereich منطقة
argue streiten يتجادل
argument Argument جدال
arise entstehen ينشأ
arm Arm ذراع
armed bewaffnet مسلح
arms Waffen أسلحة
army Armee جيش
arrange arrangieren يرتب
arrangement Vereinbarung ترتيب
arrival Ankunft وصول
arrive ankommen يصل
art Kunst فن
article Artikel مقال
artist Künstler فنان
artistic künstlerisch فني
ashamed beschämt خجلان
ask fragen يسأل
asleep schlafend نائم
aspect Aspekt جانب
assess bewerten يقيم
assessment Bewertung تقييم
assignment Aufgabe مهمة
assist helfen يساعد
associate verbinden يربط
associated verbunden مرتبط
association Vereinigung جمعية
assume annehmen يفترض
at bei عند
athlete Athlet رياضي
atmosphere Atmosphère جو
attach befestigen يرفق
attend teilnehmen يحضر
attitude Einstellung موقف
attract anziehen يجذب
attraction Anziehung جذب
attractive attraktiv جذاب
audience Publikum جمهور
August August أغسطس
aunt Tante عمة
author Autor مؤلف
authority Autorität سلطة
autumn Herbst خريف
available verfüglich متاح
avoid vermeiden يتجنب
aware bewusst مدرك
away weg بعيد
awful schrecklich فظيع
baby Baby طفل
background Hintergrund خلفية
backwards rückwärts للخلف
bacteria Bakterien بكتيريا
bad schlecht سيء
badly schlecht بشكل سيء
bag Tasche حقيبة
bake backen يخبز
ball Ball كرة
banana Banane موز
band Band فرقة
barrier Barriere حاجز
baseball Baseball بيسبول
based basiert مبني على
basic grundlegend أساسي
basically grundsätzlich أساسًا
basis Basis أساس
basketball Basketball كرة سلة
bath Bad حمام
bathroom Badezimmer حمام
battery Batterie بطارية
auxiliary Hilfs- مساعد
beach Strand شاطئ
bean Bohne فول
beautiful schön جميل
beauty Schönheit جمال
because weil لأن
become werden يصبح
bed Bett سرير
bedroom Schlafzimmer غرفة نوم
bee Biene نحلة
beef Rindfleisch لحم بقري
beer Bier بيرة
beg betteln يتوسل
begin beginnen يبدأ
beginning Anfang بداية
behave sich benehmen يتصرف
behaviour Verhalten سلوك
being Wesen كائن
belief Glaube اعتقاد
believe glauben يعتقد
bell Glocke جرس
belong gehören ينتمي
belt Gürtel حزام
bent gebogen منحني
bicycle Fahrrad دراجة
big groß كبير
bike Bike دراجة
billion Milliarde مليار
bin Bin صندوق
biology Biologie علم الأحياء
bird Vogel طائر
birth Geburt ولادة
birthday Geburtstag عيد ميلاد
biscuit Keks بسكويت
bit bisschen قليل
bitter bitter مر
blind blind أعمى
blog Blog مدونة
blonde blond أشقر
blood Blut دم
blow blasen يهب
boat Boot قارب
body Körper جسم
boil kochen يغلي
bond Bindung رابطة
bone Knochen عظم
boot Boot حذاء
bored gelangweilt ملول
boring langweilig ممل
born geboren مولود
borrow borgen يستعير
boss Chef رئيس
both beide كلا
bother stören يزعج
bottle Flasche زجاجة
bowl Schale وعاء
box Box صندوق
boy Junge ولد
boyfriend Freund صديق
brain Gehirn دماغ
branch Zweig فرع
brave mutig شجاع
bread Brot خبز
breakfast Frühstück فطور
breast Brust صدر
breath Atem نفس
breathe atmen يتنفس
breathing Atmung تنفس
bride Braut عروس
bridge Brücke جسر
brief kurz موجز
bright hell مشرق
brilliant brillant رائع
bring bringen يجلب
broad breit واسع
broken kaputt مكسور
brother Bruder أخ
bubble Blase فقاعة
budget Budget ميزانية
build bauen يبني
building Gebäude مبنى
bullet Kugel رصاصة
bunch Bündel حزمة
bury begraben يدفن
bus Bus حافلة
bush Busch شجيرة
business Geschäft عمل
businessman Geschäftsmann رجل أعمال
busy beschäftigt مشغول
butter Butter زبدة
button Knopf زر
buy kaufen يشتري
bye Tschüss مع السلامة
cable Kabel كابل
cafe Café مقهى
cake Kuchen كعكة
calculate berechnen يحسب
camera Kamera كاميرا
camping Camping تخييم
campus Campus حرم جامعي
modal modal نمطي
cancel stornieren يلغي
cancer Krebs سرطان
candidate Kandidat مرشح
cannot kann nicht لا يستطيع
cap Mütze قبعة
capable fähig قادر
capacity Kapazität سعة
captain Kapitän قائد
car Auto سيارة
card Karte بطاقة
career Karriere مهنة
careful vorsichtig حذر
carefully sorgfältig بعناية
careless nachlässig مهمل
carpet Teppich سجادة
carrot Karotte جزر
carry tragen يحمل
cartoon Cartoon رسوم متحركة
case Fall حالة
cash Bargeld نقد
castle Schloss قلعة
cat Katze قط
category Kategorie فئة
CD CD قرص مضغوط
ceiling Decke سقف
celebrate feiern يحتفل
celebration Feier احتفال
celebrity Berühmtheit مشهور
cell Zelle خلية
cent Cent سنت
central zentral مركزي
century Jahrhundert قرن
ceremony Zeremonie حفل
certain sicher متأكد
certainly sicher بالتأكيد
chairman Vorsitzender رئيس
champion Champion بطل
chance Chance فرصة
channel Kanal قناة
chapter Kapitel فصل
character Charakter شخصية
charity Wohltätigkeit صدقة
cheerful fröhlich مبتهج
cheese Käse جبن
chef Koch طاهٍ
chemistry Chemie كيمياء
chest Brust صدر
chicken Huhn دجاج
child Kind طفل
childhood Kindheit طفولة
chip Chip رقاقة
chocolate Schokolade شوكولاتة
choice Wahl اختيار
choose wählen يختار
church Kirche كنيسة
cigarette Zigarette سيجارة
cinema Kino سينما
circumstance Umstand ظرف
cite zitieren يستشهد
citizen Bürger مواطن
city Stadt مدينة
civil zivil مدني
class Klasse فصل
classical klassisch كلاسيكي
classroom Klassenzimmer فصل دراسي
clause Klausel بند
clearly klar بوضوح
clever clever ذكي
client Kunde عميل
climate Klima مناخ
clock Uhr ساعة
closed geschlossen مغلق
closely genau عن كثب
cloth Stoff قماش
clothes Kleidung ملابس
clothing Bekleidung ملابس
cloud Wolke سحابة
club Club نادي
clue Hinweis دليل
coal Kohle فحم
coast Küste ساحل
coat Mantel معطف
code Code رمز
coin Münze عملة معدنية
colleague Kollege زميل
collect sammeln يجمع
collection Sammlung مجموعة
college College كلية
colour Farbe لون
coloured farbig ملون
column Spalte عمود
combination Kombination مزيج
combine kombinieren يجمع
come kommen يأتي
comedy Komödie كوميديا
comfortable bequem مريح
commit begehen يرتكب
commitment Engagement التزام
committee Ausschuss لجنة
commonly häufig عادة
communicate kommunizieren يتواصل
communication Kommunikation اتصال
community Gemeinschaft مجتمع
company Firma شركة
compare vergleichen يقارن
comparison Vergleich مقارنة
compete konkurrieren يتنافس
competition Wettbewerb منافسة
competitive wettbewerbsfähig تنافسي
competitor Konkurrent منافس
complain beschwerden يشكو
complaint Beschwerde شكوى
completely völlig تمامًا
complicated kompliziert معقد
component Komponente مكون
computer Computer حاسوب
concentrate konzentrieren يركز
concentration Konzentration تركيز
concept Konzept مفهوم
concerned besorgt مهتم
concert Konzert حفل موسيقي
conclude schließen يستنتج
conclusion Schlussfolgerung خاتمة
condition Zustand حالة
conference Konferenz مؤتمر
confuse verwirn يربك
confused verwirrt مرتبك
confusing verwirrend محير
connect verbinden يصل
connected verbunden متصل
connection Verbindung اتصال
conscious bewusst واعٍ
consequence Folge عاقبة
consider betrachten يعتبر
consideration Überlegung اعتبار
consist bestehen يتكون
consistent konsequent متناسق
constant konstant ثابت
constantly ständig باستمرار
construct konstruieren يبني
construction Konstruktion بناء
consume konsumieren يستهلك
consumer Verbraucher مستهلك
contain enthalten يحتوي
container Behälter حاوية
contemporary zeitgenössisch معاصر
context Kontext سياق
continent Kontinent قارة
continue fortsetzen يستمر
continuous kontinuierlich مستمر
contribute beitragen يساهم
contribution Beitrag مساهمة
convenient bequem مناسب
conversation Gespräch محادثة
convert umwandeln يحول
convince überzeugen يقنع
convinced مقتنع überzeugt
cooker Herd موقد
cooking Kochen طبخ
corner Ecke زاوية
corporate unternehmerisch شركة
correctly richtig بشكل صحيح
costume Kostüm زي
cottage Hütte كوخ
cotton Baumwolle قطن
could könnte يمكن
council Rat مجلس
country Land بلد
countryside Landschaft ريف
county Bezirk مقاطعة
couple Paar زوجين
courage Mut شجاعة
course Kurs دورة
court Gericht محكمة
cousin Cousin ابن عم
covered bedeckt مغطى
cow Kuh بقرة
crazy verrückt مجنون
create erschaffen يخلق
creation Schöpfung خلق
creative kreativ إبداعي
creature Kreatur مخلوق
crew Crew طاقم
crime Verbrechen جريمة
crisis Krise أزمة
criterion Kriterium معيار
critic Kritiker ناقد
critical kritisch حرج
criticism Kritik نقد
criticize kritisieren ينتقد
crop Ernte محصول
crowd Menge حشد
crowded überfüllt مزدحم
crucial entscheidend حاسم
cruel grausam قاسٍ
cultural kulturelli ثقافي
culture Kultur ثقافة
cup Tasse كوب
cupboard Schrank خزانة
curly lockig مجعد
currency Währung عملة
currently derzeit حاليًا
curtain Vorhang ستارة
curved gebogen منحني
custom Brauch عادة
customer Kunde زبون
dad Papa أب
dancer Tänzer راقص
dancing Tanzen رقص
danger Gefahr خطر
dangerous gefährlich خطير
data Daten بيانات
daughter Tochter ابنة
day Tag يوم
dead tot ميت
death Tod موت
debt Schulden دين
decade Jahrzehnt عقد
December Dezember ديسمبر
decent anständي محترم
decide entscheiden يقرر
decision Entscheidung قرار
declare erklären يعلن
decorate dekorieren يزين
decoration Dekoration زينة
deeply tief بعمق
defence Verteidigung دفاع
defend verteidigen يدافع
degree Grad درجة
deliberate absichtlich متعمد
deliberately absichtlich عمدًا
delicious lecker لذيذ
delighted erfreut سعيد
deliver liefern يسلم
delivery Lieferung تسليم
demonstrate demonstrieren يظهر
dentist Zahnarzt طبيب أسنان
deny leugnen ينكر
department Abteilung قسم
departure Abreise مغادرة
depend abhängen يعتمد
depressed deprimiert مكتئب
depressing deprimiered محبط
depth Tiefe عمق
describe beschreiben يصف
description Beschreibung وصف
deserve verdienen يستحق
designer Designer مصمم
desk Schreibtisch مكتب
desperate verzweifeld يائس
despite trotz على الرغم
destination Ziel وجهة
destroy zerstören يدمر
detailed detailliert مفصل
detect erkennen يكشف
detective Detektiv محقق
determine bestimmen يحدد
determined entschlossen مصمم
develop entwickeln يطور
development Entwicklung تطوير
device Gerät جهاز
diagram Diagramm رسم بياني
dialogue Dialog حوار
diamond Diamant ماس
diary Tagebuch مذكرات
dictionary Wörterbuch قاموس
die sterben يموت
diet Diät حمية
dig graben يحفر
digital digital رقمي
dinner Abendessen عشاء
direction Richtung اتجاه
directly direkt مباشرة
director Direktor مخرج
dirt Schmutz وسخ
dirty schmutzig قذر
disadvantage Nachteil عيب
disagree nicht zustimmen يختلف
disappear verschwinden يختفي
disappointed enttäuscht خائب الأمل
disappointing enttäuschend مخيب
disaster Katastrophe كارثة
disc Disk قرص
discipline Disziplin انضباط
discover entdecken يكتشف
discovery Entdeckung اكتشاف
discuss diskutieren يناقش
discussion Diskussion مناقشة
disease Krankheit مرض
dish Gericht طبق
dishonest unehrlich غير أمين
dismiss entlassen يطرد
distance Entfernung مسافة
distribute verteilen يوزع
distribution Verteilung توزيع
district Bezirk منطقة
division Teilung قسم
divorced geschieden مطلق
doctor Arzt طبيب
documentary Dokumentarfilm وثائقي
dog Hund كلب
dollar Dollar دولار
domestic häuslich محلي
dominate dominieren يهيمن
donate spenden يتبرع
door Tür باب
downwards abwärts إلى الأسفل
drag ziehen يسحب
drama Drama دراما
dramatic dramatisch درامي
draw zeichnen يرسم
drawing Zeichnung رسم
dressed angezind يرتدي
driver Fahrer سائق
driving Fahren قيادة
drug Droge دواء
drum Trommel طبل
drunk betrunken سكران
due fällig مستحق
during während أثناء
dust Staub غبار
duty Pflicht واجب
DVD DVD دي في دي
each jeder كل
ear Ohr أذن
earn verdienen يكسب
earth Erde أرض
earthquake Erdbeben زلزال
easily بسهولة leicht
eastern östlich شرقي
easy einfach سهل
eat essen يأكل
economic wirtschaftlich اقتصادي
economy Wirtschaft اقتصاد
edge Rand حافة
edit bearbeiten يحرر
edition Ausgabe طبعة
editor Herausgeber محرر
educate erziehen يعلم
educated gebildet متعلم
education Bildung تعليم
educational pädagogisch تعليمي
egg Ei بيضة
eight acht ثمانية
eighteen achtzehn ثمانية عشر
eighty achtzig ثمانون
elderly älterly مسن
elect wählen ينتخب
election Wahl انتخابات
electric elektrisch كهربائي
electrical elektrisch كهربائي
electricity Elektrizität كهرباء
electronic elektronik إلكتروني
element Element عنصر
elephant Elefant فيل
eleven elf أحد عشر
else sonst آخر
elsewhere anderswo في مكان آخر
embarrassed verlegen محرج
embarrassing peinlich محرج
emerge auftauchen يظهر
emergency Notfall طوارئ
emotion Emotion عاطفة
emotional emotional عاطفي
emphasis Betonung تركيز
emphasize betonen يؤكد
employ beschäftigen يوظف
employee Angestellter موظف
employer Arbeitgeber صاحب العمل
employment Beschäftigung توظيف
enable ermöglichen يمكن
encourage ermutigen يشجع
ending Ende نهاية
enemy Feind عدو
energy Energie طاقة
engage beschäftigen يشغل
engaged verlobt مخطوب
engine Motor محرك
engineer Ingenieur مهندس
engineering Ingenieurwesen هندسة
enhance verbessern يعزز
enjoy genießen يستمتع
enormous enorm ضخم
enquiry Anfrage استفسار
ensure sicherstellen يضمن
enter betreten يدخل
entertain unterhalten يسلي
entertainment Unterhaltung ترفيه
enthusiasm Begeisterer حماس
enthusiastic begeistert متحمس
entire gesamte كامل
entirely vollständy تمامًا
entrance Eingang مدخل
entry Eintrag دخول
environment Umwelt بيئة
environmental ökologisch بيئي
episode Folge حلقة
equally gleich equally
equipment Ausrüstung معدات
error Fehler خطأ
especially besonders خاصة
essay Aufsatz مقال
essential wesentlich أساسي
establish gründen يؤسس
estate Anwesen عقار
ethical ethisch أخلاقي
euro Euro يورو
evaluate bewerten يقيم
evening Abend مساء
event Veranstaltung حدث
eventually schließlich في النهاية
ever jemals قط
every jeder كل
everybody jeder كل شخص
everyday alltäglich يومي
everyone jeder الجميع
everything alles كل شيء
everywhere überall في كل مكان
evidence Beweis دليل
exact genau بالضبط
exactly genau تمامًا
exam Prüfung امتحان
examination Untersuchung فحص
examine untersuchen يفحص
example Beispiel مثال
excellent ausgezeichnet ممتاز
excited aufgeregter متحمس
excitement Aufregung إثارة
exciting aufregend مثير
exhibition Ausstellung معرض
exist existieren يوجد
existence Existenz وجود
expand erweitern يتوسع
expect erwarten يتوقع
expectation Erwartung توقع
expected erwartet متوقع
expedition Expedition رحلة استكشافية
expense Kosten مصروف
expensive teuer غالي
experienced erfahren خبير
explain erklären يشرح
explanation Erklärung تفسير
explode explodieren ينفجر
exploration Erkundung استكشاف
explore erkunden يستكشف
explosion Explosion انفجار
expose aussetzen يكشف
express ausdrücken يعبر
expression Ausdruck تعبير
extend verlängern يمتد
extent Ausmaß مدى
external extern خارجي
extraordinary außergewöhnlich استثنائي
extremely äußerst للغاية
eye Auge عين
facility Einrichtung منشأة
fact Tatsache حقيقة
factor Faktor عامل
factory Fabrik مصنع
fail scheitern يفشل
failure Scheitern فشل
fair fair عادل
fairly ziemlich إلى حد ما
faith Glaube إيمان
false falsch خاطئ
familiar vertraut مألوف
famous berühmt مشهور
fan Fan مروحة
fantastic fantastisch رائع
farmer Bauer مزارع
farming Landwirtschaft زراعة
fascinating faszinierend رائع
fashion Mode موضة
fashionable modisch عصري
fasten befestigen يربط
father Vater أب
fault Fehler خطأ
feather Feder ريشة
February Februar فبراير
fee Gebühr رسوم
feedback Feedback تعليق
feeling Gefühl شعور
fellow Kollege زميل
fence Zaun سياج
festival Festival مهرجان
number Nummer رقم
folding faltbar قابل للطي
follow folgen يتبع
food Essen طعام
foot Fuß قدم
football Fußball كرة قدم
for für لـ
foreign ausländisch أجنبي
forest Wald غابة
forever für immer للأبد
forget vergessen ينسى
forgive vergeben يغفر
fork Gabel شوكة
formal formell رسمي
former ehemalig سابق
fortunately glücklicherweise لحسن الحظ
fortune Vermögen ثروة
forty vierzig أربعون
found gegründet تأسس
four vier أربعة
fourteen vierzehn أربعة عشر
fourth vierte رابع
freedom Freiheit حرية
freeze einfrieren يتجمد
frequency Frequenz تردد
frequently häufig بشكل متكرر
fresh frisch طازج
Friday Freitag الجمعة
fridge Kühlschrank ثلاجة
friend Freund صديق
friendly freundlich ودود
friendship Freundschaft صداقة
frighten erschrecken يخيف
frightened verängstigt خائف
frightening مخيف مرعب
frog Frosch ضفدع
from von من
frozen gefroren مجمد
fruit Frucht فاكهة
fry braten يقلي
full voll ممتلئ
fully vollständy بالكامل
fundamental grundlegend أساسي
funding Finanzierung تمويل
funny lustig مضحك
fur Fell فراء
furniture Möbel أثاث
furthermore außerdem علاوة على ذلك
gallery Galerie معرض
game Spiel لعبة
gang Bande عصابة
gap Lücke فجوة
garage Garage مرآب
garden Garten حديقة
gas Gas غاز
gate Tor بوابة
gather sammeln يجمع
general allgemein عام
generally generell عموما
generate erzeugen يولد
generation Generation جيل
generous großzügig كريم
genre Genre نوع
gentle sanft لطيف
gentleman Gentleman سيد
geography Geographie جغرافيا
get bekommen يحصل
ghost Geist شبح
gift Geschenk هدية
girl Mädchen فتاة
girlfriend Freundin صديقة
give geben يعطي
glad froh سعيد
glass Glas زجاج
global global عالمي
glove Handschuh قفاز
goal Ziel هدف
god Gott إله
golf Golf جولف
goodbye Auf Wiedersehen وداعا
goods Waren بضائع
govern regieren يحكم
government Regierung حكومة
grab greifen يمسك
gradually allmählich تدريجيا
grain Getreide حبة
grand groß رائع
grandfather Großvater جد
grandmother Großmutter جدة
grandparent Großeltern جد/جدة
grass Gras عشب
grateful dankbar ممتن
great groß عظيم
greet begrüßen يرحب
ground Boden أرض
group Gruppe مجموعة
grow wachsen ينمو
growth Wachstum نمو
guest Gast ضيف
guilty schuldig مذنب
guitar Gitarre جيتار
gun Gewehr بندقية
guy Typ رجل
gym Fitnessstudio صالة رياضية
habit Gewohnheit عادة
hair Haar شعر
hall Halle قاعة
hang hängen يعلق
happen passieren يحدث
happily glücklich بسعادة
happiness Glück سعادة
happy glücklich سعيد
hardly kaum بالكاد
harmful schädlich ضار
hat Hut قبعة
auxiliary Hilfs- مساعد
modal modal نمطي
he er هو
headache Kopfschmerz صداع
headline Überschrift عنوان
health Gesundheit صحة
healthy gesund صحي
hear hören يسمع
hearing Gehör سمع
heart Herz قلب
heating Heizung تدفئة
heaven Himmel جنة
heavily schwer بشدة
heavy schwer ثقيل
heel Ferse كعب
height Höhe ارتفاع
helicopter Helikopter هليكوبتر
hell Hölle جحيم
hello Hallo مرحبا
helpful hilfreich مفيد
here hier هنا
hero Held بطل
hers ihr لها
herself نفسها selbst
hesitate zögern يتردد
hey hey يا
hi hi مرحبا
hide verstecken يختبئ
highly hoch للغاية
hill Hügel تلة
him ihn له
himself نفسه selbst
historic historisch تاريخي
historical historisch تاريخي
history Geschichte تاريخ
hobby Hobby هواية
hockey Hockey هوكي
hole Loch حفرة
holiday Urlaub عطلة
hollow hohl أجوف
holy heilig مقدس
homework Hausaufgaben واجب منزلي
honest ehrlich صادق
horrible schrecklich فظيع
horror Horror رعب
horse Pferd حصان
hospital Krankenhaus مستشفى
hot heiß ساخن
hotel Hotel فندق
hour Stunde ساعة
household Haushalt منزل
housing Wohnung سكن
how wie كيف
however jedoch لكن
huge riesig ضخم
humorous humorvoll فكاهي
humor Humor فكاهة
hundred hundert مائة
hungry hungrig جائع
hunting Jagd صيد
hurricane Hurrikan إعصار
husband Ehemann زوج
I ich أنا
ice Eis جليد
idea Idee فكرة
identify identifizieren يحدد
identity Identität هوية
if wenn إذا
ignore ignorieren يتجاهل
ill krank مريض
illegal illegal غير قانوني
illness Krankheit مرض
illustrate veranschaulichen يوضح
illustration Abbildung رسم توضيحي
image Bild صورة
imaginary imaginär خيالي
imagination Fantasie خيال
imagine vorstellen يتخيل
immediate sofort فوري
immediately sofort على الفور
immigrant Einwanderer مهاجر
impatient ungeduldig غير صبور
imply implizieren يوحي
importance Wichtigkeit أهمية
important wichtig مهم
impose auferlegen يفرض
impossible unmöglich مستحيل
impress beeindrucken يبهر
impressed beeindruckt منبهر
impression Eindruck انطباع
impressive beeindruckend مثير للإعجاب
improve verbessern يحسن
improvement Verbesserung تحسين
inch Zoll بوصة
incident Vorfall حادث
include einschließen يتضمن
included enthalten مشمول
including einschließlich بما في ذلك
income Einkommen دخل
increasingly zunehmend بشكل متزايد
incredible unglaubich لا يصدق
incredibly unglaublich بشكل لا يصدق
indeed tatsächlich بالفعل
independent unabhängig مستقل
indicate anzeigen يشير
indirect indirekt غير مباشر
indoor Innen- داخلي
indoors drinnen في الداخل
industrial industriell صناعي
industry Industrie صناعة
infection Infektion عدوى
inform informieren يخبر
informal informell غير رسمي
information Information معلومات
ingredient Zutat مكون
initial anfänglich ابتدائي
initially anfangs في البداية
initiative Initiative مبادرة
injure verletzen يصيب
injured verletzt مصاب
injury Verletzung إصابة
inner inner داخلي
innocent unschuldig بريء
insect Insekt حشرة
insight Einsicht بصيرة
insist bestehen يصر
inspire inspirieren يلهم
install installieren يثبت
instance Beispiel مثال
instead stattdessen بدلاً من
institute Institut معهد
institution Institution مؤسسة
instruction Anweisung تعليمات
instructor Ausbilder مدرب
instrument Instrument آلة
insurance Versicherung تأمين
intelligence Intelligenz ذكاء
intelligent intelligent ذكي
intend beabsichtigen ينوي
intended beabsichtigt مقصود
intense intensiv شديد
intention Absicht نية
interested interessiert مهتم
interesting interessant مثير للاهتمام
internal intern داخلي
international international دولي
internet Internet إنترنت
interpret interpretieren يفسر
interrupt unterbrechen يقاطع
into in إلى
introduce vorstellen يعرّف
introduction Einführung مقدمة
invent erfinden يخترع
invention Erfindung اختراع
invest investieren يستثمر
investigate untersuchen يحقق
investigation Untersuchung تحقيق
investment Investition استثمار
invitation Einladung دعوة
invite einladen يدعو
involve einbeziehen يشمل
involved beteiligt مشارك
island Insel جزيرة
IT IT تكنولوجيا المعلومات
it es هو / هي
item Artikel عنصر
its sein / ihr له / لها
itself selbst نفسه
jacket Jacke سترة
jam Marmelade مربى
January Januar يناير
jazz Jazz جاز
jeans Jeans جينز
jewellery Schmuck مجوهرات
job Job وظيفة
join beitreten ينضم
journal Zeitschrift مجلة
journalist Journalist صحفي
journey Reise رحلة
joy Freude فرح
judgment Urteil حكم
juice Saft عصير
July Juli يوليو
June Juni يونيو
junior junior مبتدئ
just nur فقط
justice Gerechtigkeit عدالة
justify rechtfertigen يبرر
keen eifrig متحمس
keep behalten يحتفظ
keyboard Tastature لوحة مفاتيح
kid Kind طفل
kill töten يقتل
killing Tötung قتل
kilometre Kilometer كيلومتر
king König ملك
kitchen Küche مطبخ
knee Knie ركبة
knife Messer سكين
know wissen يعرف
knowledge Wissen معرفة
lab Labor مختبر
laboratory Laboratorium مختبر
labour Arbeit عمل
lady Dame سيدة
lake See بحيرة
lamp Lampe مصباح
landscape Landschaft منظر طبيعي
language Sprache لغة
laptop Laptop كمبيوتر محمول
large groß كبير
largely weitgehend إلى حد كبير
laughter Gelächter ضحك
law Gesetz قانون
lawyer Anwalt محامي
lay legen يضع
layer Schicht طبقة
lazy faul كسول
leader Führer قائد
leadership Führung قيادة
leading führend رائد
leaf Blatt ورقة
league Liga دوري
lean mager يسنِد
learn lernen يتعلم
learning Lernen تعلم
leather Leder جلد
leg Bein ساق
legal legal قانوني
leisure Freizeit وقت الفراغ
lemon Zitrone ليمون
lend leihen يقرض
length Länge طول
lesson Unterricht درس
let lassen يدع
letter Brief رسالة
library Bibliothek مكتبة
licence Lizenz رخصة
life Leben حياة
lifestyle Lebensstil نمط حياة
likely wahrscheinlich محتمل
limited begrenzt محدود
lion Löwe أسد
lip Lippe شفة
listen zuhören يستمع
listener Zuhörer مستمع
literature Literatur أدب
lively lebendig حيوي
loan Darlehen قرض
locate lokalisieren يحدد موقع
located gelegen يقع
location Standort موقع
logical logisch منطقي
lonely einsam وحيد
loose lose فضفاض
lord Herr سيد
lorry Lastwagen شاحنة
lose verlieren يخسر
loss Verlust خسارة
lost verloren ضائع
loudly laut بصوت عالٍ
lovely lieblich جميل
lower niedriger أدنى
luck Glück حظ
lucky glücklich محظوظ
lunch Mittagessen غداء
lung Lunge رئة
luxury Luxus رفاهية
machine Maschine آلة
mad verrückt غاضب
magazine Zeitschrift مجلة
main Haupt رئيسي
mainly hauptsächlich أساسًا
maintain erhalten يحافظ
major größer رئيسي
majority Mehrheit أغلبية
mall Einkaufszentrum مول
man Mann رجل
manage verwalten يدير
management Management إدارة
manager Manager مدير
manner Art طريقة
many viele كثير
March März مارس
marketing Marketing تسويق
marriage Ehe زواج
married verheiratet متزوج
marry heiraten يتزوج
massive massiv ضخم
matching passend متطابق
mathematics Mathematik رياضيات
maths Mathematik رياضيات
May Mai مايو
may dürfen قد
maybe vielleicht ربما
me mich أنا
meal Mahlzeit وجبة
mean bedeuten يعني
meaning Bedeutung معنى
means Mittel وسيلة
meanwhile inzwischen في هذه الأثناء
measurement Messung قياس
meat Fleisch لحم
media Medien إعلام
medical medizinisch طبي
medicine Medizin دواء
meet treffen يقابل
meeting Meeting اجتماع
melt schmelzen يذوب
member Mitglied عضو
memory Erinnerung ذاكرة
mental geistig عقلي
menu Menü قائمة
message Nachricht رسالة
metal Metall معدن
method Methode طريقة
metre Meter متر
midnight Mitternacht منتصف الليل
might könnte قد
mild mild معتدل
mile Meile ميل
milk Milch حليب
million Million مليون
mineral Mineral معدن
minister Minister وزير
minor kleiner ثانوي
minority Minderheid أقلية
mirror Spiegel مرآة
